鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
台東市,建物,臺東縣臺東市豐興路61~90號,0.0,,,,1050201,土地0建物1車位0,一層，二層，三層，四層，五層，六層，七層，見其他登記事項,七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050831,3262.83,84,3,84,有,無,20934300,6416,,0.0,0,,RPSNMLNLKILFFAV86CA
台東市,建物,臺東縣臺東市西康路一段72巷60弄1~30號,0.0,,,,1051001,土地0建物1車位0,全,一層,透天厝,見其他登記事項,見其他登記事項,0881106,97.52,0,0,0,有,無,1600000,16407,,0.0,0,,RPVNMLQLKILFFAV47CA
卑南鄉,建物,臺東縣卑南鄉牧場1~30號,0.0,,,,1051101,土地0建物1車位0,全,一層,透天厝,見其他登記事項,鋼筋混凝土造,0621201,525.61,0,1,0,有,無,250252,476,,0.0,0,向政府機關承購之案件。,RPTNMLPKKHMFFAV17DA
卑南鄉,房地(土地+建物),臺東縣臺東市太平路344巷1~30號,61.0,,鄉村區,乙種建築用地,1060201,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0700907,83.6,3,2,1,有,無,650000,7775,,0.0,0,,RPRNMLOKKHMFFAV86DA
成功鎮,土地,都豐段1321~1350地號,26.84,,風景區,農牧用地,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,4471,,0.0,0,,RPPNMLMLKHMFFBV66DA
鹿野鄉,房地(土地+建物),臺東縣鹿野鄉光榮路552巷1~30號,173.11,住,,,1060101,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0980619,164.19,2,1,2,有,無,2630000,16018,,0.0,0,,RPPNMLSKKHMFFCV17CA
成功鎮,房地(土地+建物),臺東縣成功鎮和平路31~60號,3814.68,,風景區,農牧用地,1060101,土地2建物1車位0,一層，二層，三層,三層,農舍,農舍,見其他登記事項,0841226,478.23,3,2,2,有,無,11000000,,,0.0,0,,RPQNMLKLKHMFFBV09CA
台東市,房地(土地+建物),臺東縣臺東市漢陽南路139巷61~90號,100.16,住,,,1060101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051207,209.61,5,2,5,有,無,11000000,52478,,0.0,0,,RPTNMLNLKHMFFAV96CA
台東市,房地(土地+建物),臺東縣臺東市漢陽南路139巷61~90號,99.95,住,,,1060101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051207,207.67,5,2,5,有,無,10800000,52006,,0.0,0,,RPUNMLNLKHMFFAV07CA
台東市,房地(土地+建物),臺東縣臺東市更生路635巷1~30號,117.0,住,,,1060101,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0751021,128.97,3,2,2,有,無,8500000,65907,,0.0,0,,RPQNMLMJLHMFFAV09CA
卑南鄉,房地(土地+建物),臺東縣卑南鄉太平路仁德巷1~30號,66.89,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0830601,93.34,2,2,2,有,無,2000000,21427,,0.0,0,,RPUNMLRKKHMFFAV37CA
台東市,房地(土地+建物),臺東縣臺東市中興路二段450巷28弄1~30號,6.5,住,,,1060201,土地1建物1車位0,八層,九層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850628,44.23,1,1,1,有,無,1420000,32105,,0.0,0,,RPRNMLSKKHMFFAV17CA
台東市,房地(土地+建物),臺東縣臺東市新興路1巷31~60號,111.89,住,,,1060101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0940829,126.14,3,2,3,有,無,5200000,41224,,0.0,0,,RPSNMLSKKHMFFAV27CA
台東市,房地(土地+建物),臺東縣臺東市文心街17巷1~30號,25.04,住,,,1060101,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0831217,129.89,3,2,2,有,有,4100000,31565,,0.0,0,,RPPNMLKLKHMFFAV88CA
