編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLNLKILFFAV86CA,,3262.83,見其他登記事項,鋼筋混凝土造,105年8月31日,七層,一層 二層 三層 四層 五層 六層 七層 見其他登記事項
RPVNMLQLKILFFAV47CA,17,97.52,見其他登記事項,見其他登記事項,88年11月6日,一層,一層
RPTNMLPKKHMFFAV17DA,43,525.61,見其他登記事項,鋼筋混凝土造,62年12月1日,一層,一層 騎樓
RPRNMLOKKHMFFAV86DA,35,83.60,住家用,見其他登記事項,70年9月7日,一層,
RPPNMLSKKHMFFCV17CA,8,164.19,見其他登記事項,鋼筋混凝土造,98年6月19日,三層,一層 二層 三層
RPQNMLKLKHMFFBV09CA,21,478.23,農舍,見其他登記事項,84年12月26日,三層,一層 二層 三層
RPTNMLNLKHMFFAV96CA,,209.61,見其他登記事項,見其他登記事項,105年12月7日,三層,一層 二層 三層 見其他登記事項
RPUNMLNLKHMFFAV07CA,,207.67,見其他登記事項,見其他登記事項,105年12月7日,三層,一層 二層 三層 見其他登記事項
RPQNMLMJLHMFFAV09CA,30,128.97,住家用,加強磚造,75年10月21日,二層,二層 一層
RPUNMLRKKHMFFAV37CA,23,83.80,見其他登記事項,鋼筋混凝土造,83年6月1日,三層,三層
RPUNMLRKKHMFFAV37CA,23,9.54,見其他登記事項,鋼筋混凝土造,83年6月1日,三層,
RPRNMLSKKHMFFAV17CA,21,33.22,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,八層
RPRNMLSKKHMFFAV17CA,21,6.91,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPRNMLSKKHMFFAV17CA,21,4.10,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPSNMLSKKHMFFAV27CA,11,126.14,住家用,鋼筋混凝土造,94年8月29日,二層,一層 二層
RPPNMLKLKHMFFAV88CA,22,92.42,見其他登記事項,鋼筋混凝土造,83年12月17日,八層,一層
RPPNMLKLKHMFFAV88CA,22,11.59,見其他登記事項,鋼筋混凝土造,83年12月17日,八層,
RPPNMLKLKHMFFAV88CA,22,17.43,見其他登記事項,鋼筋混凝土造,83年12月17日,八層,
