編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLOKKHMFFAV86DA,利家段,61.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMLKHMFFBV66DA,都豐段,26.84,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLSKKHMFFCV17CA,龍田段,140.18,都市：住
RPPNMLSKKHMFFCV17CA,龍田段,32.93,都市：住
RPQNMLKLKHMFFBV09CA,和平南段,873.37,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLKLKHMFFBV09CA,和平南段,2941.31,非都市：風景區 ; 非都市編定：農牧用地
RPTNMLNLKHMFFAV96CA,東海段,100.16,都市：住
RPUNMLNLKHMFFAV07CA,東海段,99.95,都市：住
RPQNMLMJLHMFFAV09CA,中山段,99.00,都市：住
RPQNMLMJLHMFFAV09CA,中山段,18.00,都市：住
RPUNMLRKKHMFFAV37CA,利家段,35.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLRKKHMFFAV37CA,利家段,31.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLSKKHMFFAV17CA,豐年段,6.50,都市：住
RPSNMLSKKHMFFAV27CA,興安段,111.89,都市：住
RPPNMLKLKHMFFAV88CA,東海段,25.04,都市：住
RPRNMLKLKHMFFAV09CA,豐年段,6.00,都市：住
RPSNMLKLKHMFFAV56CA,東海段,127.35,都市：住
RPTNMLKLKHMFFAV66CA,東海段,106.68,都市：住
RPUNMLKLKHMFFAV76CA,東海段,107.95,都市：住
RPWNMLKLKHMFFAV96CA,東海段,108.11,都市：住
RPXNMLKLKHMFFAV07CA,台東段,209.00,都市：商
RPOOMLKLKHMFFAV88CA,新園段,1292.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLKLKHMFFBV56CA,玉長段,892.99,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLKLKHMFFBV56CA,玉長段,2021.66,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLSJLHMFFAV96CA,豐康段,51.90,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLSJLHMFFAV96CA,豐康段,64.33,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLKLKHMFFBV98CA,富民段,7.56,非都市：風景區 ; 非都市編定：農牧用地
RPSNMLMJLHMFFCV86CA,水井段,143.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJLHMFFCV86CA,水井段,21.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLKLKHMFFAV86DA,馬蘭段,33.83,都市：住
RPPNMLLLKHMFFDV66CA,泰王段,65.74,都市：住
RPPNMLLLKHMFFDV66CA,泰王段,65.74,都市：住
RPPNMLLLKHMFFDV66CA,泰王段,59.64,都市：住
RPPNMLLLKHMFFDV66CA,泰王段,59.64,都市：住
RPTNMLMJLHMFFCV07DA,新源段,2676.27,非都市：一般農業區 ; 非都市編定：農牧用地
RPSOMLKLKHMFFAV66CA,永和段,114.72,都市：住
RPSOMLKLKHMFFAV66CA,永和段,16.61,都市：其他
RPUNMLSKKHMFFAV47CA,梧州段,59.77,都市：住
RPQNMLMLKHMFFAV56CA,新生段,12.40,都市：住
RPPNMLLLKHMFFAV98CA,中心段,49.00,都市：住
RPQNMLNJLHMFFCV86DA,福原段,28.06,都市：農
RPQNMLNJLHMFFCV86DA,福原段,77.33,都市：住
RPQNMLNJLHMFFCV86DA,福原段,36.23,都市：住
RPQNMLNJLHMFFCV86DA,福原段,82.10,都市：住
RPQNMLNJLHMFFCV86DA,福原段,34.95,都市：住
RPQNMLNJLHMFFCV86DA,福原段,4.48,都市：住
RPQNMLNJLHMFFCV86DA,福原段,226.53,都市：住
RPQNMLNJLHMFFCV86DA,福原段,31.90,都市：住
RPQNMLNJLHMFFCV86DA,福原段,78.61,都市：住
RPQNMLNJLHMFFCV86DA,福原段,19.99,都市：住
RPPNMLLLLHMFFBV56CA,長光段,266.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLRJLHMFFAV37CA,利吉段,3765.72,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMLKHMFFAV56DA,新生段,89.00,都市：住
RPPNMLMLKHMFFAV56DA,新生段,6.00,都市：住
RPQNMLLJLHMFFAV09DA,梧州段,791.68,都市：農
RPQNMLLJLHMFFAV09DA,梧州段,179.58,都市：農
RPQNMLLJLHMFFAV09DA,梧州段,32.87,非都市：特定農業區 ; 非都市編定：交通用地
RPQNMLLJLHMFFAV09DA,梧州段,15.99,非都市：特定農業區 ; 非都市編定：交通用地
RPSNMLMLKHMFFAV76CA,利家段,49.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNLKHMFFAV56CA,利家段,1739.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMLKHMFFAV66CA,中心段,109.00,都市：住
RPRNMLMJLHMFFAV56CA,青林段,4818.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNLKHMFFAV76CA,東海段,99.81,都市：住
RPSNMLNLKHMFFAV86CA,東海段,99.37,都市：住
RPRNMLNJLHMFFCV86CA,中華段,38.33,都市：住
RPRNMLNJLHMFFCV86CA,中華段,68.55,都市：住
RPPNMLMJLHMFFCV56CA,大原段,724.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMJLHMFFCV56CA,大原段,1325.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMJLHMFFCV56CA,大原段,945.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMJLHMFFCV56CA,大原段,1080.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQKLHMFFBV96CA,南八里段,297.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLRKLHMFFAV07CA,豐田段,100.86,都市：住
RPRNMLRKLHMFFAV17CA,豐田段,101.05,都市：住
RPRNMLQJLHMFFAV96CA,台東段,54.40,都市：住
RPPNMLPLKHMFFAV76CA,興安段,79.53,都市：住
RPSNMLLJLHMFFAV56CA,豐年段,26.07,都市：住
RPSNMLLJLHMFFAV56CA,豐年段,87.68,都市：住
RPRNMLOLKHMFFAV86CA,永樂段,15546.00,都市：農
RPRNMLOLKHMFFAV86CA,永樂段,349.00,都市：農
RPRNMLOLKHMFFAV86CA,永樂段,454.00,都市：農
RPQNMLNLKHMFFAV66CA,台東段,107.00,都市：住
RPVNMLOLKHMFFAV27CA,東海段,2500.01,都市：農
RPVNMLOLKHMFFAV27CA,東海段,1041.28,都市：農
RPVNMLOLKHMFFAV27CA,東海段,2500.00,都市：農
RPWNMLOLKHMFFAV37CA,南榮段,109.96,都市：住
RPXNMLOLKHMFFAV47CA,利卡夢段,4037.18,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLOLKHMFFAV66CA,永豐段,113.00,都市：住
RPPOMLOLKHMFFAV76CA,豐年段,135.20,都市：住
RPVNMLLJLHMFFAV86CA,東海段,4152.79,都市：農
RPVNMLLJLHMFFAV86CA,東海段,678.93,都市：農
RPVNMLLJLHMFFAV86CA,東海段,446.99,都市：農
RPWNMLLJLHMFFAV96CA,豐康段,171.55,都市：農
RPPNMLLJLHMFFBV98CA,南八里段,179.61,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLMJLHMFFCV76CA,福原段,6.45,都市：商
RPPNMLPJLHMFFCV86CA,海端段,66.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMJLHMFFAV09DA,台東段,83.00,都市：住
RPQNMLMJLHMFFCV76DA,四維段,4607.76,非都市：一般農業區 ; 非都市編定：農牧用地
