鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
金寧鄉,房地(土地+建物),金門縣金寧鄉湖南1~30號,38.41,其他,,,1051201,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050830,59.26,2,2,1,有,無,2980000,50287,,0.0,0,,RPXNMLRKKHMFFAW77CA
金寧鄉,土地,寧劃段931~960地號,800.0,農,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2500,,0.0,0,,RPPNMLSKKHMFFAW07CA
金城鎮,土地,古井段1~30地號,990.88,其他,,,1060201,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9908800,10000,,0.0,0,,RPVNMLSKKHMFFAW77DA
金沙鎮,土地,高坑劃測段781~810地號,5367.43,農,,,1060201,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,932,,0.0,0,親友特殊關係間之交易。,RPQNMLQJLHMFFAW96CA
金寧鄉,土地,后垵段1~30地號,583.38,農,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,6000,,0.0,0,,RPRNMLMLKHMFFAW76CA
金城鎮,房地(土地+建物),金門縣金城鎮珠浦北路5巷1~30號,32.98,住,,,1060101,土地2建物1車位0,一層,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1051125,87.85,0,0,0,無,無,9900000,112692,,0.0,0,,RPSNMLLJLHMFFAW66CA
金城鎮,房地(土地+建物),金門縣金城鎮珠浦北路5巷1~30號,32.98,住,,,1060101,土地2建物1車位0,二層,四層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051125,88.61,0,0,0,無,無,8100000,91412,,0.0,0,,SPSNMLLJLHMFFAW76CA
金沙鎮,土地,陽宅段301~330地號,3253.38,農,,,1060201,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1537,,0.0,0,,RPQNMLNLKHMFFAW76CA
金湖鎮,房地(土地+建物),金門縣金湖鎮赤東路1~30號,18.97,住,,,1060101,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041201,99.58,3,2,1,有,有,6500000,65274,,0.0,0,,RPQNMLKLLHMFFAW56CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城61~90號,44.09,其他,,,1051201,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051109,75.83,3,2,2,有,無,5200000,68574,,0.0,0,,RPQNMLMLKHMFFAW66CA
金寧鄉,房地(土地+建物),金門縣金寧鄉盤果路1~30號,49.1,住,,,1060101,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051123,78.55000000000001,0,0,0,無,無,6500000,82750,,0.0,0,,RPSNMLKLLHMFFAW76CA
金寧鄉,房地(土地+建物),金門縣金寧鄉盤果路1~30號,49.1,住,,,1060101,土地0建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051123,85.46000000000001,2,1,1,有,無,5500000,64358,,0.0,0,,SPSNMLKLLHMFFAW86CA
金寧鄉,房地(土地+建物),金門縣金寧鄉盤果路1~30號,49.1,住,,,1060101,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051123,85.46000000000001,2,2,1,有,無,5500000,64358,,0.0,0,,RPXNMLSLLHMFFAW08CA
烈嶼鄉,土地,東坑段511~540地號,103.0,其他,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,9709,,0.0,0,,RPTNMLMJLHMFFAW86CA
金寧鄉,房地(土地+建物),金門縣金寧鄉東堡1~30號,39.61,其他,,,1060201,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060110,73.23,2,1,2,有,無,4180000,57080,,0.0,0,,RPPNMLOLKHMFFAW76CA
金寧鄉,房地(土地+建物),金門縣金寧鄉東堡1~30號,38.07,其他,,,1060201,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060110,70.76,2,1,2,有,無,4200000,59356,,0.0,0,,RPQNMLOLKHMFFAW86CA
金寧鄉,房地(土地+建物),金門縣金寧鄉東堡1~30號,39.59,其他,,,1060201,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060110,73.22,2,1,2,有,無,3980000,54357,,0.0,0,,RPSNMLOLKHMFFAW07CA
金沙鎮,土地,山柄段241~270地號,806.65,其他,,,1060201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,1302,,0.0,0,,RPPNMLLJLHMFFAW98CA
金湖鎮,土地,尚義段781~810地號,844.64,農,,,1060201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,3552,,0.0,0,,RPUNMLMJLHMFFAW96CA
