編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLRKKHMFFAW77CA,,56.00,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,二層
RPXNMLRKKHMFFAW77CA,,3.26,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,
RPSNMLLJLHMFFAW66CA,,58.04,見其他登記事項,鋼筋混凝土造,105年11月25日,四層,一層
RPSNMLLJLHMFFAW66CA,,29.81,見其他登記事項,鋼筋混凝土造,105年11月25日,四層,
SPSNMLLJLHMFFAW76CA,,58.80,見其他登記事項,鋼筋混凝土造,105年11月25日,四層,二層
SPSNMLLJLHMFFAW76CA,,29.81,見其他登記事項,鋼筋混凝土造,105年11月25日,四層,
RPQNMLKLLHMFFAW56CA,1,76.80,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,九層
RPQNMLKLLHMFFAW56CA,1,6.31,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPQNMLKLLHMFFAW56CA,1,8.48,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPQNMLKLLHMFFAW56CA,1,7.99,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPQNMLMLKHMFFAW66CA,,69.72,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,一層
RPQNMLMLKHMFFAW66CA,,6.11,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,
RPSNMLKLLHMFFAW76CA,,73.93,見其他登記事項,鋼筋混凝土造,105年11月23日,三層,一層
RPSNMLKLLHMFFAW76CA,,4.62,見其他登記事項,鋼筋混凝土造,105年11月23日,三層,
SPSNMLKLLHMFFAW86CA,,80.84,見其他登記事項,鋼筋混凝土造,105年11月23日,三層,二層
SPSNMLKLLHMFFAW86CA,,4.62,見其他登記事項,鋼筋混凝土造,105年11月23日,三層,
RPXNMLSLLHMFFAW08CA,,80.84,見其他登記事項,鋼筋混凝土造,105年11月23日,三層,三層
RPXNMLSLLHMFFAW08CA,,4.62,見其他登記事項,鋼筋混凝土造,105年11月23日,三層,
RPPNMLOLKHMFFAW76CA,,67.01,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,一層
RPPNMLOLKHMFFAW76CA,,6.22,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,
RPQNMLOLKHMFFAW86CA,,64.78,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,三層
RPQNMLOLKHMFFAW86CA,,5.98,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,
RPSNMLOLKHMFFAW07CA,,67.01,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,三層
RPSNMLOLKHMFFAW07CA,,6.21,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,
