鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
馬公市,建物,澎湖縣馬公市後窟潭1~30號,0.0,,,,1060101,土地0建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0630916,97.38,4,1,1,有,無,500000,5135,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLQJKHMFFAX96DA
西嶼鄉,土地,二崁南段301~330地號,183.2,其他,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,3002,,0.0,0,,RPPNMLSKKHMFFAX17CA
馬公市,土地,文寮段1051~1080地號,97.38,,一般農業區,農牧用地,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,7188,,0.0,0,,RPPNMLKLKHMFFAX09CA
湖西鄉,土地,紅羅段2521~2550地號,363.53,,一般農業區,農牧用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,930000,2558,,0.0,0,債權債務關係，土地經拍賣承受後，以原承受價移轉給另一債權人。,RPSNMLMLKHMFFAX96CA
馬公市,土地,海堤段1231~1260地號,1721.7,工,,,1060201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7890123,4583,,0.0,0,,RPXNMLLJLHMFFAX37DA
白沙鄉,土地,下瓦硐段1231~1260地號,276.5,,風景區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,310000,1121,,0.0,0,,RPSNMLOKLHMFFAX17CA
七美鄉,土地,七美二段511~540地號,207.84,,一般農業區,農牧用地,1051201,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,227070,1093,,0.0,0,,RPPNMLNLKHMFFAX96EA
湖西鄉,土地,白坑段901~930地號,616.32,,森林區,農牧用地,1060201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,811,,0.0,0,,RPRNMLLLKHMFFAX76CA
馬公市,土地,國宅段571~600地號,126.74,住,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,15780,,0.0,0,,RPPNMLMLKHMFFAX66CA
馬公市,房地(土地+建物),澎湖縣馬公市五福路138巷61~90號,134.39,,一般農業區,甲種建築用地,1051201,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870525,185.16,4,1,3,有,無,5100000,27544,,0.0,0,,RPQNMLQJLHMFFAX07CA
馬公市,房地(土地+建物),澎湖縣馬公市西衛211~240號,190.42,,一般農業區,甲種建築用地,1051201,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041008,205.41,4,2,4,有,無,7000000,34078,,0.0,0,賣方賣清價,RPRNMLTJLHMFFAX57DA
白沙鄉,土地,小赤段271~300地號,527.93,,一般農業區,農牧用地,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,2273,,0.0,0,,RPQNMLNLKHMFFAX86CA
馬公市,房地(土地+建物),澎湖縣馬公市林森路15巷1~30號,13.23,住,,,1060201,土地4建物1車位0,一層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840707,45.39,1,1,1,有,無,1860000,40978,,0.0,0,,RPPNMLMJLHMFFAX56CA
白沙鄉,房地(土地+建物),澎湖縣白沙鄉大赤崁211~240號,50.07,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0220101,26.49,3,2,1,有,無,288406,10887,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLNJLHMFFAX66CA
白沙鄉,土地,中屯新1741~1770地號,246.46,,一般農業區,農牧用地,1060201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,2110,,0.0,0,,RPQNMLLJLHMFFAX66DA
湖西鄉,土地,紅羅段1051~1080地號,356.75,,一般農業區,農牧用地,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,420425,1178,,0.0,0,,RPTNMLPKLHMFFAX47DA
湖西鄉,土地,紅羅段1021~1050地號,168.11,,一般農業區,農牧用地,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,216921,1290,,0.0,0,,RPUNMLPKLHMFFAX57DA
馬公市,房地(土地+建物),澎湖縣馬公市民權路91~120號,65.0,商,,,1051201,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0881125,309.21,3,1,5,有,無,6900000,22315,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLLJLHMFFAX76DA
馬公市,土地,中山段301~330地號,11.43,農,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,126302,11050,,0.0,0,向政府機關承購之案件。,RPQNMLMJLHMFFAX66CA
馬公市,土地,鎖港西段571~600地號,1262.23,農,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5720000,4532,,0.0,0,,RPPNMLLJLHMFFAX09CA
